year,month,month_number,date,unemployment
1948,Jan,1,1/1/1948,3.4
1948,Feb,2,2/1/1948,3.8
1948,Mar,3,3/1/1948,4
1948,Apr,4,4/1/1948,3.9
1948,May,5,5/1/1948,3.5
1948,Jun,6,6/1/1948,3.6
1948,Jul,7,7/1/1948,3.6
1948,Aug,8,8/1/1948,3.9
1948,Sep,9,9/1/1948,3.8
1948,Oct,10,10/1/1948,3.7
1948,Nov,11,11/1/1948,3.8
1948,Dec,12,12/1/1948,4
1949,Jan,13,1/1/1949,4.3
1949,Feb,14,2/1/1949,4.7
1949,Mar,15,3/1/1949,5
1949,Apr,16,4/1/1949,5.3
1949,May,17,5/1/1949,6.1
1949,Jun,18,6/1/1949,6.2
1949,Jul,19,7/1/1949,6.7
1949,Aug,20,8/1/1949,6.8
1949,Sep,21,9/1/1949,6.6
1949,Oct,22,10/1/1949,7.9
1949,Nov,23,11/1/1949,6.4
1949,Dec,24,12/1/1949,6.6
1950,Jan,25,1/1/1950,6.5
1950,Feb,26,2/1/1950,6.4
1950,Mar,27,3/1/1950,6.3
1950,Apr,28,4/1/1950,5.8
1950,May,29,5/1/1950,5.5
1950,Jun,30,6/1/1950,5.4
1950,Jul,31,7/1/1950,5
1950,Aug,32,8/1/1950,4.5
1950,Sep,33,9/1/1950,4.4
1950,Oct,34,10/1/1950,4.2
1950,Nov,35,11/1/1950,4.2
1950,Dec,36,12/1/1950,4.3
1951,Jan,37,1/1/1951,3.7
1951,Feb,38,2/1/1951,3.4
1951,Mar,39,3/1/1951,3.4
1951,Apr,40,4/1/1951,3.1
1951,May,41,5/1/1951,3
1951,Jun,42,6/1/1951,3.2
1951,Jul,43,7/1/1951,3.1
1951,Aug,44,8/1/1951,3.1
1951,Sep,45,9/1/1951,3.3
1951,Oct,46,10/1/1951,3.5
1951,Nov,47,11/1/1951,3.5
1951,Dec,48,12/1/1951,3.1
1952,Jan,49,1/1/1952,3.2
1952,Feb,50,2/1/1952,3.1
1952,Mar,51,3/1/1952,2.9
1952,Apr,52,4/1/1952,2.9
1952,May,53,5/1/1952,3
1952,Jun,54,6/1/1952,3
1952,Jul,55,7/1/1952,3.2
1952,Aug,56,8/1/1952,3.4
1952,Sep,57,9/1/1952,3.1
1952,Oct,58,10/1/1952,3
1952,Nov,59,11/1/1952,2.8
1952,Dec,60,12/1/1952,2.7
1953,Jan,61,1/1/1953,2.9
1953,Feb,62,2/1/1953,2.6
1953,Mar,63,3/1/1953,2.6
1953,Apr,64,4/1/1953,2.7
1953,May,65,5/1/1953,2.5
1953,Jun,66,6/1/1953,2.5
1953,Jul,67,7/1/1953,2.6
1953,Aug,68,8/1/1953,2.7
1953,Sep,69,9/1/1953,2.9
1953,Oct,70,10/1/1953,3.1
1953,Nov,71,11/1/1953,3.5
1953,Dec,72,12/1/1953,4.5
1954,Jan,73,1/1/1954,4.9
1954,Feb,74,2/1/1954,5.2
1954,Mar,75,3/1/1954,5.7
1954,Apr,76,4/1/1954,5.9
1954,May,77,5/1/1954,5.9
1954,Jun,78,6/1/1954,5.6
1954,Jul,79,7/1/1954,5.8
1954,Aug,80,8/1/1954,6
1954,Sep,81,9/1/1954,6.1
1954,Oct,82,10/1/1954,5.7
1954,Nov,83,11/1/1954,5.3
1954,Dec,84,12/1/1954,5
1955,Jan,85,1/1/1955,4.9
1955,Feb,86,2/1/1955,4.7
1955,Mar,87,3/1/1955,4.6
1955,Apr,88,4/1/1955,4.7
1955,May,89,5/1/1955,4.3
1955,Jun,90,6/1/1955,4.2
1955,Jul,91,7/1/1955,4
1955,Aug,92,8/1/1955,4.2
1955,Sep,93,9/1/1955,4.1
1955,Oct,94,10/1/1955,4.3
1955,Nov,95,11/1/1955,4.2
1955,Dec,96,12/1/1955,4.2
1956,Jan,97,1/1/1956,4
1956,Feb,98,2/1/1956,3.9
1956,Mar,99,3/1/1956,4.2
1956,Apr,100,4/1/1956,4
1956,May,101,5/1/1956,4.3
1956,Jun,102,6/1/1956,4.3
1956,Jul,103,7/1/1956,4.4
1956,Aug,104,8/1/1956,4.1
1956,Sep,105,9/1/1956,3.9
1956,Oct,106,10/1/1956,3.9
1956,Nov,107,11/1/1956,4.3
1956,Dec,108,12/1/1956,4.2
1957,Jan,109,1/1/1957,4.2
1957,Feb,110,2/1/1957,3.9
1957,Mar,111,3/1/1957,3.7
1957,Apr,112,4/1/1957,3.9
1957,May,113,5/1/1957,4.1
1957,Jun,114,6/1/1957,4.3
1957,Jul,115,7/1/1957,4.2
1957,Aug,116,8/1/1957,4.1
1957,Sep,117,9/1/1957,4.4
1957,Oct,118,10/1/1957,4.5
1957,Nov,119,11/1/1957,5.1
1957,Dec,120,12/1/1957,5.2
1958,Jan,121,1/1/1958,5.8
1958,Feb,122,2/1/1958,6.4
1958,Mar,123,3/1/1958,6.7
1958,Apr,124,4/1/1958,7.4
1958,May,125,5/1/1958,7.4
1958,Jun,126,6/1/1958,7.3
1958,Jul,127,7/1/1958,7.5
1958,Aug,128,8/1/1958,7.4
1958,Sep,129,9/1/1958,7.1
